,experiences_offered,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,neighbourhood,minimum_nights,maximum_nights
125,none,52.538140000000006,13.45553,Townhouse,Entire home/apt,4,1.0,2.0,105.0,Prenzlauer Berg,4,365
127,none,52.44149,13.461929999999999,Guest suite,Entire home/apt,3,1.0,0.0,52.0,Buckow,2,365
128,none,52.51178,13.40751,Apartment,Private room,2,1.0,1.0,55.0,Mitte,1,20
130,none,52.49365,13.42115,Guest suite,Private room,2,1.0,1.0,39.0,Kreuzberg,2,5
131,none,52.55522,13.423070000000001,Apartment,Entire home/apt,2,1.0,1.0,75.0,Pankow,3,1125
132,none,52.49575,13.2971,Loft,Entire home/apt,2,1.0,1.0,89.0,Halensee,6,180
133,none,52.4766,13.508379999999999,House,Entire home/apt,5,1.0,2.0,65.0,Karlshorst,3,365
134,none,52.52044,13.44498,Loft,Entire home/apt,2,1.5,1.0,75.0,Friedrichshain,3,120
135,none,52.50645,13.41705,Apartment,Entire home/apt,4,1.0,1.0,75.0,Mitte,4,365
136,none,52.51245,13.49214,Apartment,Private room,2,1.0,1.0,38.0,Lichtenberg,3,14
138,none,52.580890000000004,13.44377,Apartment,Entire home/apt,3,1.0,1.0,170.0,Heinersdorf,1,365
139,none,52.50444,13.41559,Loft,Entire home/apt,2,1.0,1.0,89.0,Kreuzberg,3,730
140,none,52.49889,13.32386,Apartment,Private room,1,2.0,1.0,38.0,Wilmersdorf,7,365
141,none,52.480880000000006,13.3545,Apartment,Private room,2,1.5,1.0,25.0,Schöneberg,1,730
143,none,52.50448000000001,13.359029999999999,Apartment,Entire home/apt,2,1.0,1.0,88.0,Tiergarten,3,120
144,none,52.543009999999995,13.41525,Condominium,Entire home/apt,4,2.0,2.0,155.0,Prenzlauer Berg,5,180
145,none,52.50516999999999,13.29466,Apartment,Entire home/apt,2,1.0,1.0,50.0,Charlottenburg,1,1125
146,none,52.41235,13.50031,Apartment,Entire home/apt,4,1.0,2.0,100.0,Rudow,5,730
147,none,52.524640000000005,13.299489999999999,Apartment,Private room,1,1.0,1.0,35.0,Charlottenburg,3,30
148,none,52.532030000000006,13.400970000000001,Apartment,Entire home/apt,2,1.0,1.0,70.0,Mitte,3,30
149,none,52.50042,13.43578,Apartment,Entire home/apt,5,2.0,3.0,195.0,Kreuzberg,7,25
150,none,52.51275,13.463579999999999,Apartment,Entire home/apt,2,1.0,1.0,150.0,Friedrichshain,2,500
151,none,52.51079,13.30216,Apartment,Private room,2,1.0,1.0,35.0,Charlottenburg,7,95
152,none,52.52183,13.333179999999999,Apartment,Entire home/apt,5,1.0,1.0,175.0,Moabit,3,21
153,none,52.508109999999995,13.46326,Apartment,Private room,2,1.0,1.0,60.0,Friedrichshain,2,21
